LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
45m         Normal    Created             pod/redis-cart-6899b65948-rdm8k              Container created
45m         Normal    Started             pod/redis-cart-6899b65948-rdm8k              Container started
45m         Warning   Unhealthy           pod/cartservice-546c548494-j4j6h             Readiness probe failed: timeout: health rpc did not complete within 1s
45m         Normal    Created             pod/paymentservice-6b76dfb449-m2g8g          Container created
45m         Normal    Pulled              pod/paymentservice-6b76dfb449-m2g8g          Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4" in 36.101s (2m8.176s including waiting). Image size: 158102749 bytes.
45m         Normal    Started             pod/paymentservice-6b76dfb449-m2g8g          Container started
45m         Warning   Unhealthy           pod/paymentservice-6b76dfb449-m2g8g          Readiness probe failed: timeout: failed to connect service "10.244.0.21:50051" within 1s: context deadline exceeded
44m         Normal    Pulled              pod/emailservice-7466dc585-cj92q             Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4" in 25.394s (2m33.563s including waiting). Image size: 223317390 bytes.
44m         Normal    Created             pod/emailservice-7466dc585-cj92q             Container created
44m         Normal    Started             pod/emailservice-7466dc585-cj92q             Container started
44m         Warning   Unhealthy           pod/emailservice-7466dc585-cj92q             Readiness probe failed: timeout: failed to connect service "10.244.0.20:8080" within 1s: context deadline exceeded
44m         Warning   Unhealthy           pod/emailservice-7466dc585-cj92q             Liveness probe failed: timeout: failed to connect service "10.244.0.20:8080" within 1s: context deadline exceeded
44m         Normal    Created             pod/frontend-694b9f76cd-7ngbj                Container created
44m         Normal    Started             pod/frontend-694b9f76cd-7ngbj                Container started
44m         Normal    Pulled              pod/frontend-694b9f76cd-7ngbj                Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4" in 9.517s (2m42.971s including waiting). Image size: 30554846 bytes.
43m         Normal    Pulled              pod/adservice-8576649cff-rvdb4               Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4" in 33.758s (3m16.611s including waiting). Image size: 264793028 bytes.
43m         Normal    Created             pod/adservice-8576649cff-rvdb4               Container created
43m         Normal    Started             pod/adservice-8576649cff-rvdb4               Container started
43m         Normal    Pulled              pod/recommendationservice-6f8f67d69-7cw9t    Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4" in 21.043s (3m37.639s including waiting). Image size: 215895920 bytes.
43m         Normal    Created             pod/recommendationservice-6f8f67d69-7cw9t    Container created
43m         Normal    Started             pod/recommendationservice-6f8f67d69-7cw9t    Container started
43m         Warning   Unhealthy           pod/recommendationservice-6f8f67d69-7cw9t    Readiness probe failed: timeout: failed to connect service "10.244.0.24:8080" within 1s: context deadline exceeded
43m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "busybox:latest" in 2.065s (1m22.17s including waiting). Image size: 4425286 bytes.
43m         Normal    Pulling             pod/loadgenerator-7dd458dd5b-8s9hz           Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.4"
43m         Warning   Unhealthy           pod/adservice-8576649cff-rvdb4               Liveness probe failed: timeout: health rpc did not complete within 1s
43m         Warning   Unhealthy           pod/recommendationservice-6f8f67d69-7cw9t    Liveness probe failed: timeout: failed to connect service "10.244.0.24:8080" within 1s: context deadline exceeded
42m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.4" in 29.565s (29.565s including waiting). Image size: 200452600 bytes.
42m         Normal    Created             pod/loadgenerator-7dd458dd5b-8s9hz           Container created
42m         Normal    Started             pod/loadgenerator-7dd458dd5b-8s9hz           Container started
31m         Normal    Killing             pod/frontend-694b9f76cd-7ngbj                Stopping container server
31m         Normal    Updated             podchaos/frontend-podkill                    Successfully update desiredPhase of resource
31m         Normal    Applied             podchaos/frontend-podkill                    Successfully apply chaos for default/frontend-694b9f76cd-7ngbj
31m         Normal    Updated             podchaos/frontend-podkill                    Successfully update records of resource
31m         Normal    SuccessfulCreate    replicaset/frontend-694b9f76cd               Created pod: frontend-694b9f76cd-tpp7j
31m         Normal    Scheduled           pod/frontend-694b9f76cd-tpp7j                Successfully assigned default/frontend-694b9f76cd-tpp7j to minikube
