LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
27m         Normal    Pulled              pod/frontend-694b9f76cd-7ngbj                Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4" in 9.517s (2m42.971s including waiting). Image size: 30554846 bytes.
27m         Normal    Pulled              pod/adservice-8576649cff-rvdb4               Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4" in 33.758s (3m16.611s including waiting). Image size: 264793028 bytes.
27m         Normal    Started             pod/adservice-8576649cff-rvdb4               Container started
27m         Normal    Created             pod/adservice-8576649cff-rvdb4               Container created
26m         Normal    Pulled              pod/recommendationservice-6f8f67d69-7cw9t    Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4" in 21.043s (3m37.639s including waiting). Image size: 215895920 bytes.
26m         Normal    Started             pod/recommendationservice-6f8f67d69-7cw9t    Container started
26m         Normal    Created             pod/recommendationservice-6f8f67d69-7cw9t    Container created
26m         Warning   Unhealthy           pod/recommendationservice-6f8f67d69-7cw9t    Readiness probe failed: timeout: failed to connect service "10.244.0.24:8080" within 1s: context deadline exceeded
26m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "busybox:latest" in 2.065s (1m22.17s including waiting). Image size: 4425286 bytes.
26m         Normal    Pulling             pod/loadgenerator-7dd458dd5b-8s9hz           Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.4"
26m         Warning   Unhealthy           pod/recommendationservice-6f8f67d69-7cw9t    Liveness probe failed: timeout: failed to connect service "10.244.0.24:8080" within 1s: context deadline exceeded
26m         Warning   Unhealthy           pod/adservice-8576649cff-rvdb4               Liveness probe failed: timeout: health rpc did not complete within 1s
26m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.4" in 29.565s (29.565s including waiting). Image size: 200452600 bytes.
26m         Normal    Started             pod/loadgenerator-7dd458dd5b-8s9hz           Container started
26m         Normal    Created             pod/loadgenerator-7dd458dd5b-8s9hz           Container created
14m         Normal    Applied             podchaos/frontend-podkill                    Successfully apply chaos for default/frontend-694b9f76cd-7ngbj
14m         Normal    Killing             pod/frontend-694b9f76cd-7ngbj                Stopping container server
14m         Normal    Scheduled           pod/frontend-694b9f76cd-tpp7j                Successfully assigned default/frontend-694b9f76cd-tpp7j to minikube
14m         Normal    SuccessfulCreate    replicaset/frontend-694b9f76cd               Created pod: frontend-694b9f76cd-tpp7j
14m         Normal    FinalizerInited     podchaos/frontend-podkill                    Finalizer has been inited
14m         Normal    Updated             podchaos/frontend-podkill                    Successfully update finalizer of resource
14m         Normal    Updated             podchaos/frontend-podkill                    Successfully update desiredPhase of resource
14m         Normal    Updated             podchaos/frontend-podkill                    Successfully update records of resource
14m         Normal    Pulled              pod/frontend-694b9f76cd-tpp7j                Container image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4" already present on machine and can be accessed by the pod
14m         Normal    Created             pod/frontend-694b9f76cd-tpp7j                Container created
14m         Normal    Started             pod/frontend-694b9f76cd-tpp7j                Container started
92s         Normal    Deleted             podchaos/frontend-podkill                    Experiment has been deleted
91s         Normal    Updated             podchaos/frontend-podkill                    Successfully update desiredPhase of resource
91s         Normal    Recovered           podchaos/frontend-podkill                    Successfully recover chaos for default/frontend-694b9f76cd-7ngbj
91s         Normal    Updated             podchaos/frontend-podkill                    Successfully update records of resource
91s         Normal    FinalizerInited     podchaos/frontend-podkill                    Finalizer has been removed
91s         Normal    Updated             podchaos/frontend-podkill                    Successfully update finalizer of resource
31s         Normal    FinalizerInited     stresschaos/cpu-stress                       Finalizer has been inited
31s         Normal    Updated             stresschaos/cpu-stress                       Successfully update desiredPhase of resource
31s         Normal    Started             stresschaos/cpu-stress                       Experiment has started
31s         Normal    Updated             stresschaos/cpu-stress                       Successfully update finalizer of resource
30s         Normal    Updated             stresschaos/cpu-stress                       Successfully update records of resource
30s         Normal    Applied             stresschaos/cpu-stress                       Successfully apply chaos for default/recommendationservice-6f8f67d69-7cw9t/server
